subject,relation,object,source
"Employees","COMPLIES_WITH","ISO 27001","unstructured/company_policy.txt"
"Enterprise Data","GOVERNED_BY","RBAC","unstructured/company_policy.txt"
"Data Breach","REPORTED_TO","Information Security Office","unstructured/company_policy.txt"
"sanjay.mehta@tcs.com","SENT_EMAIL_TO","finance.board@tcs.com","unstructured/email_communications.txt"
"InsightAI","GENERATED_REVENUE","USD 18.4 Million","unstructured/email_communications.txt"
"Axis Bank","USES","InsightAI","unstructured/email_communications.txt"
"HDFC Life","USES","InsightAI","unstructured/email_communications.txt"
"Indian AI Analytics Market","GROWING_AT","25% CAGR","unstructured/industry_reports.txt"
"TCS","INVESTS_IN","Knowledge Graph Platforms","unstructured/industry_reports.txt"
"Infosys","INVESTS_IN","Knowledge Graph Platforms","unstructured/industry_reports.txt"
"Wipro","INVESTS_IN","Knowledge Graph Platforms","unstructured/industry_reports.txt"
"CTO","ATTENDED","Enterprise AI Strategy Review","unstructured/meeting_notes.txt"
"Head of Data Science","ATTENDED","Enterprise AI Strategy Review","unstructured/meeting_notes.txt"
"Sales Director","ATTENDED","Enterprise AI Strategy Review","unstructured/meeting_notes.txt"
"InsightAI","EXPANDING_INTO","Healthcare Diagnostics","unstructured/meeting_notes.txt"
"Apollo Hospitals","DEMANDS","InsightAI","unstructured/meeting_notes.txt"
"Fortis Healthcare","DEMANDS","InsightAI","unstructured/meeting_notes.txt"
"Axis Bank","REPORTED_ISSUE","Delayed fraud detection alerts during UPI peak hours","unstructured/support_cases.txt"
"Delayed fraud detection alerts during UPI peak hours","RESOLVED_BY","Deployed optimized real-time streaming pipeline and increased Kafka throughput","unstructured/support_cases.txt"
"Infosys Client Unit 1","BELONGS_TO_INDUSTRY","Healthcare","structured/clients.csv"
"Infosys Client Unit 1","LOCATED_IN","India","structured/clients.csv"
"Infosys Client Unit 2","BELONGS_TO_INDUSTRY","Retail","structured/clients.csv"
"Infosys Client Unit 2","LOCATED_IN","India","structured/clients.csv"
"Infosys Client Unit 3","BELONGS_TO_INDUSTRY","Manufacturing","structured/clients.csv"
"Infosys Client Unit 3","LOCATED_IN","India","structured/clients.csv"
"Infosys Client Unit 4","BELONGS_TO_INDUSTRY","BFSI","structured/clients.csv"
"Infosys Client Unit 4","LOCATED_IN","India","structured/clients.csv"
"Infosys Client Unit 5","BELONGS_TO_INDUSTRY","Healthcare","structured/clients.csv"
"Infosys Client Unit 5","LOCATED_IN","India","structured/clients.csv"
"Infosys Client Unit 6","BELONGS_TO_INDUSTRY","Retail","structured/clients.csv"
